arXiv ID,Primary category,Journal,Is proceedings,Presents new numerical results,UK authors,Generates field configurations,Specifies software used for configuration generation,Software used for configuration generation,Repository/hosting service for configuration generation code,Performs measurements,Specifies software used for measurement,Software used for measurements,Repository/hosting service for measurement code,Uses existing configurations,Configuration hosting infrastructure acknowledged,Cites existing configurations,Configurations generated by,Reanalyses other existing data,Cites other existing data,Publishes data,Data available on request?,Repository used for data,Specifies software used for analysis,Software used for analysis,Repository/hosting service for analysis code,Publishes parts of analysis,Publishes full analysis,Acknowledges an HPC centre,Acknowledges Supercomputing Wales,Acknowledges DiRAC,Review paper,Cites any other software,Comments
2101.00020,hep-ph,Acta Phys.Polon.B,N,N,N,N,,,,N,No,,,N,,No,,N,,N,N,,No,,,N,N,N,N,N,N,,
2101.00689,hep-lat,Phys.Rev.D,N,Y,N,N,,,,Y,Mentioned by name,Qlua,,Y,,Paper citation,BMW,N,,N,N,,No,,,N,N,Y,N,N,N,,
2101.00723,hep-lat,Phys.Rev.D,N,Y,N,N,,,,Y,No,,,Y,,Paper citation,ETMC,N,,N,N,,No,,,N,N,Y,N,N,N,,
2101.01021,hep-ph,Progr.Phys.,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2101.01026,hep-th,Phys.Rev.D,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2101.01028,gr-qc, ,N,Y,N,Y,No,,,Y,No,,,N,,,,N,,N,N,,Mentioned by name,Mathematica,,N,N,N,N,N,N,,
2101.01150,hep-lat,Phys.Rev.D,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2101.01498,hep-lat,Phys.Rev.D,N,Y,N,Y,No,,,Y,No,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2101.01808,hep-lat,Int.J.Mod.Phys.A,N,Y,N,Y,No,,,Y,No,,,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
2101.02124,hep-ph,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2101.02224,hep-lat,Phys.Rev.D,N,Y,N,Y,No,,,Y,No,,,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
2101.02227,hep-th,JHEP,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2101.02236,hep-th, ,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2101.02254,hep-lat,Proceedings of Criticality in QCD and the Hadron Resonance Gas,Y,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2101.02676,gr-qc, ,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2101.02694,hep-lat,JHEP,N,Y,N,N,,,,Y,URL citation,mesons,GitHub,Y,,Paper citation,CLS,N,,N,N,,Paper citation,RunDec,,N,N,Y,N,N,N,,
2101.02715,hep-ph,JHEP,N,Y,N,Y?,No,,,Y,No,,,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
2101.03161,hep-lat,Indian J.Phys.,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2101.03383,hep-lat,Phys.Lett.B,N,Y,N,Y,No,,,Y,No,,,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
2101.03605,hep-lat,Phys.Rev.D,N,Y,N,Y,No,,,Y,No,,,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
2101.03858,hep-ph,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2101.03901,nucl-th, ,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2101.03938,hep-lat,Phys.Rev.D,N,Y,N,Y,No,,,Y,No,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2101.04132,hep-th,JHEP,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2101.04196,hep-lat,Phys.Rev.D,N,Y,N,Y,No,,,Y,No,,,Y,,Paper citation,(Bornyakov et al),N,,N,N,,No,,,N,N,Y,N,N,N,,
2101.04483,hep-ph,Sci.China Phys.Mech.Astron.,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2101.04642,hep-lat,PoS,Y,Y,N,Y,No,,,Y,No,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2101.04762,hep-lat, ,N,N,Y,N,,,,N,,,,N,,,,N,,N,N,,Footnote/inline URL,"scaleerrors.py, RunDec",,Y,N,N,N,N,Y,,
2101.04933,hep-ph,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2101.04942,hep-lat,Phys.Rev.D,N,Y,N,N,,,,Y,Paper citation,"GWU-code, HIP",,Y,,Paper citation,RBC-UKQCD,N,,N,N,,No,,,N,N,Y,N,N,N,,
2101.04978,hep-lat,Phys.Rev.D,N,Y,N,Y,No,,,Y,No,,,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
2101.05243,hep-ph,Nucl.Phys.B,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2101.05289,quant-ph,Phys.Rev.Res.,N,Y,N,Y,No,,,Y,No,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2101.05295,gr-qc, ,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2101.05320,hep-lat, ,N,Y,N,N,,,,Y,No,,,Y,,Paper citation,MILC,N,,N,N,,Included,"Mathematica, B-Series","Within paper, GitHub",Y,N,N,N,N,N,,
2101.05528,hep-ph,JHEP,N,Y,Y,Y,No,,,Y,No,,,N,,,,N,,N,N,,Paper citation,"Package-X, Mathematica, GSL",,N,N,Y,N,N,N,Paper citation,Cites software used to test implementation
2101.05755,hep-lat,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2101.05813,nucl-th,Phys.Rev.D,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2101.06074,hep-lat, ,N,Y,N,Y,No,,,Y,Paper citation,"Chroma, PFFT",,N,,,,Y,Paper citation,N,N,,No,,,N,N,Y,N,N,N,,Master's thesis
2101.06144,hep-lat,Phys.Rev.D,N,Y,Y,N,,,,Y,Paper citation,,,Y,,Paper citation,(Culver et al),N,,N,N,,No,,,N,N,N,N,N,N,,
2101.06439,hep-lat,Symmetry,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2101.06953,hep-lat,Phys.Rev.D,N,Y,N,Y,No,,,Y,No,,,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
2101.07213,hep-ph,Phys.Rev.D,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2101.07230,hep-lat,Phys.Rev.D,N,Y,N,N,,,,Y,Paper citation,,,Y,,Paper citation,MILC,N,,N,N,,No,,,N,N,Y,N,N,N,,
2101.07243,cond-mat.str-el, ,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,Paper citation,PyTorch,,N,N,Y,N,N,N,,
2101.07281,hep-ph,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2101.07318,hep-th, ,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,Paper citation,,,Y,N,Y,N,N,N,,
2101.07850,hep-ph,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2101.08103,hep-lat,Phys.Rev.D,N,Y,Y,N,,,,Y,Mentioned by name,MILC (modified),,Y,,Paper citation,MILC,N,,N,N,,Data repository citation,"lsqfit, gvar","Zenodo, GitHub",N,N,Y,N,Y,N,,
2101.08176,hep-lat, ,N,N,Y,Y,Included,,,Y,Included,,,N,,,,N,,N,N,,Included,,,Y,Y,N,N,N,N,,Tutorial notebook
2101.08240,hep-ph,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2101.08241,hep-ph,PoS,Y,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2101.08340,hep-ph,AAPPS Bull.,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,Y,,
2101.08341,hep-th,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2101.08704,cond-mat.mes-hall, ,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,URL citation,scikit-learn,,N,N,N,N,N,N,,
2101.10227,quant-ph,Phys.Rev.D,N,Y,N,N?,,,,N,,,,N,,,,N,,N,Y,,Paper citation,"Qiskit, SU-3-CG-Code, Mathematica",GitHub,N,N,Y,N,N,N,,
2101.10246,hep-lat,JHEP,N,N,Y,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2101.10330,hep-ph,Phys.Rev.Lett.,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,Paper citation,"FeynArts, FeynRules, FeynCalc, Package-X",,N,N,N,N,N,N,,
2101.10653,hep-ph,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,,,,N,N,N,N,N,N,,
2101.10969,hep-lat,Eur.Phys.J.C,N,Y,N,Y,URL citation,openQCD,Personal website,Y,No,,,Y,,Paper citation,CLS,N,,N,N,,No,,,N,N,Y,N,N,N,,
2101.11097,nucl-th,Phys.Rev.C,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2101.11399,nucl-th, ,N,Y,N,Y,No,,,Y,No,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2101.11632,hep-lat,Phys.Rev.D,N,Y,N,N,,,,Y,No,,,Y,,Paper citation,(Gao et al),N,,N,N,,No,,,N,N,Y,N,N,N,,
2101.12286,hep-ph,Phys.Lett.B,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2101.12579,hep-ph,Nucl.Part.Phys.Proc.,Y,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2101.12623,cond-mat.stat-mech, ,N,Y,N,Y,URL citation,TruncatedMC,GitHub,N,,,,N,,,,N,,N,N,,URL citation,Subroutine on GeeksForGeeks,,Y,N,Y,N,N,N,,
2101.12661,hep-ph,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,Mentioned by name,Mentions RunDec (used for a quoted result)
2101.12663,hep-ph,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2101.12668,hep-lat,Phys.Rev.D,N,Y,N,Y,No,,,Y,No,,,N,,,,N,,N,N,,URL citation,Jax,GitHub,N,N,N,N,N,N,,
2102.00110,hep-ph,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2102.00181,hep-lat,Phys.Rev.Lett.,N,Y,N,Y,No,,,Y,URL citation,Bridge++,Institutional website,N,"ILDG, JLDG",,,N,,N,N,,No,,,N,N,Y,N,N,N,Paper citation,Mentions cuLGT
2102.00858,hep-lat,Phys.Rev.D,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,Paper citation,"HypExp, Mathematica",,N,N,N,N,N,N,,
2102.01031,astro-ph.CO, ,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,Y,N,N,N,,Manual for a piece of software
2102.01080,hep-ph, ,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2102.01101,hep-ph,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,,,,N,N,Y,N,N,N,Paper citation,Cited software used for comparison
2102.01150,hep-lat,Phys.Rev.D,N,Y,N,Y,URL citation,MILC (modified),GitHub,Y,URL citation,MILC (modified),GitHub,N,,,,Y,Paper citation,N,N,,No,,,N,N,Y,N,N,N,,
2102.01180,hep-ph,Phys.Rev.Lett.,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,,,,N,N,Y,N,N,N,,
2102.01387,hep-lat,Phys.Rev.D,N,Y,N,Y,No,,,Y,Paper citation,PFFT,,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
2102.01765,hep-ph,Prog.Part.Nucl.Phys.,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,Y,,
2102.01814,hep-lat,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2102.01996,hep-ph,Eur.Phys.J.C,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2102.02036,hep-lat,Phys.Lett.B,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2102.02174,hep-lat,PTEP,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,Unclear if configurations or observables used
2102.02825,hep-ph,Phys.Rev.Lett.,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,Presents data without extra analysis
2102.02844,hep-ph,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2102.03059,hep-lat, ,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2102.03371,nucl-th,JHEP,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2102.03591,gr-qc,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,N,,Y,N,GitHub,URL citation,"LQG_expectation_values, Mathematica",GitHub,Y,Y,N,N,N,N,,Technical paper aimed to show full details of another paper (2012.14242)
2102.03630,hep-lat,Eur.Phys.J.C,N,Y,Y,Y,Paper citation,HiRep,GitHub,Y,No,,,N,,,,N,,N,N,,No,,,N,N,Y,Y,N,N,,
2102.03805,hep-lat,Phys.Rev.D,N,Y,N,N,,,,Y,Paper citation,"Chroma, Qlua, QUDA, QDP-JIT, QPhiX",Institutional website,Y,,Paper citation,NPLQCD,N,,N,N,,No,,,N,N,Y,N,N,N,,
2102.03852,hep-ph,Chin.Phys.C,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2102.04005,cond-mat.str-el,Chin.J.Phys.,N,Y,N,Y,No,,,Y,No,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2102.04329,nucl-th,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2102.04390,hep-th,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,Paper citation,"LieART, Mathematica",,N,N,N,N,N,N,,
2102.04492,hep-lat,Phys.Rev.D,N,Y,N,N,,,,Y,No,,,Y,,Paper citation,(Pereira),N,,N,N,,Paper citation,odrpack,,N,N,Y,N,N,N,,
2102.04609,cond-mat.str-el,Phys.Rev.Lett.,N,Y,N,Y,No,,,Y,No,,,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
2102.04623,quant-ph, ,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2102.04959,hep-ph,Phys.Lett.B,N,Y,N,N,,,,Y,No,,,Y,,Paper citation,(Boucard et al),N,,N,N,,No,,,N,N,N,N,N,N,,
2102.04973,hep-lat,JHEP,N,Y,Y,N,,,,Y,Paper citation,"Chroma, QUDA, QPhiX, QOPQDP",,Y,,Paper citation,HadSpec,N,,N,N,,No,,,N,N,Y,N,N,N,,
2102.05044,hep-ph,Phys.Rev.Lett.,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,Data repository citation,"Qiskit, pyQuil, Cirq, XACC","Zenodo, GitHub",N,N,Y,N,N,N,,Quantum code available on request
2102.05084,hep-lat,Phys.Rev.D,N,Y,N,Y,No,,,Y,No,,,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
